id_item;category;question;correct_answer;incorrect_answer_a;incorrect_answer_b;incorrect_answer_c;visualizations
17;arquitectura;¿Dónde se encuentran las Torres Petronas?;Kuala Lumpur, Malasia;Shanghái, China;Manila, Filipinas;Taskent, Uzbekistan;2275
18;arquitectura;¿Dónde se pueden encontrar pirámides aparte de en Egipto?;México;Rusia;Australia;Nueva Zelanda;2213
19;arquitectura;¿En qué ciudad europea se encuentra el Partenón?;Atenas;Roma;Maratón ;Heraclión;2305
20;arquitectura;¿En qué ciudad se encuentra el estadio conocido como \El Nido del Pájaro\?;Pekín;Seúl;Tokio;Singapur;2320
21;arquitectura;¿En qué ciudad se encuentran los edificios \The Gherkin\ y \The Shard\?;Londres;Nueva York;Los Ángeles;Sydney;2333
22;arquitectura;¿En qué ciudad se halla la famosa estatua de \La Sirenita\?;Copenhague;Estocolmo;Helsinki;San Petersburgo;2314
23;arquitectura;¿Qué ciudad es famosa por albergar una ópera que parece un conjunto de conchas?;Sydney;Nueva York;Milán;París;2266
24;arquitectura;¿Qué ciudad tiene la Catedral de San Basilio como su símbolo?;Moscú;Belgrado;Varsovia;Praga;2257
25;arquitectura;¿Qué edificio fue el más alto del mundo durante aproximadamente 40 años?;Empire State Building;Edificio Chrysler;World Trade Center;432 Park Avenue;2155
26;arquitectura;¿Qué edificio trepa King Kong en la película original de 1933?;Empire State Building;World Trade Center;MLC Centre;Big Ben;2303
27;arquitectura;¿Qué es una cariátide?;Estatua de mujer que hace de columna;Criatura griega que trae fortuna;Vidente de la Antigua Grecia;Flor ornamental roja;2245
28;arquitectura;¿Qué estilo arquitectónico da la sensación de que el edificio está fragmentado?;Deconstructivismo;Futurismo;Positivismo;Nativismo;2275
29;arquitectura;¿Qué estilo arquitectónico representa la catedral de Notre Dame?;Gótico;Renacimiento;Barroco;Modernismo;2313
30;arquitectura;¿Qué estructura de 155 km de longitud fue demolida en 1989?;El Muro de Berlín;El Muro de Palestina;Los Muros Largos de Atenas;La Gran Muralla de Gorgan;2318
31;arquitectura;¿Qué longitud tiene la Gran Muralla China?;21.196 km ;5.196 km ;12.196 km ;18.196 km ;2339
32;arquitectura;¿Que Maravilla del Mundo Antiguo existe todavía?;La Gran Pirámide de Guiza;Los Jardines Colgantes de Babilonia;La Estatua de Zeus de Olimpia;El Faro de Alejandría;2275
33;arquitectura;¿Qué montaña tiene esculpidas las caras de 4 presidentes estadounidenses?;Monte Rushmore;Monte Whitney;Monte Joffre;Monte Bandera;2270
34;arquitectura;¿Qué país le regaló la Estatua de la Libertad a Estados Unidos?;Francia;Reino Unido;Italia;Alemania;2308
35;arquitectura;¿Qué palacio real fue construido en Francia por el rey Luis XIV?;Palacio de Versalles;Palacio del Elíseo;Palacio de Luxemburgo;Palacio de las Tullerías;2283
36;arquitectura;¿Quién diseñó la cúpula de la Basílica de San Pedro en el Vaticano?;Miguel Ángel;Le Corbusier;Leonardo da Vinci;Antoni Gaudí;2381
37;arquitectura;¿Sion es la colina en Jerusalén en la que se encuentra qué templo?;Templo de Salomón;Templo de David;Templo de Saúl;Templo de Gedeón;2359
38;arte;¿A qué movimiento artístico pertenece Frida Kahlo?;Surrealismo;Impresionismo;Pop art;Realismo;2347
39;arte;¿A qué movimientos artísticos pertenecía Picasso?;Cubismo y surrealismo;Futurismo y desconstructivismo;Expresionismo y realismo;Impresionismo y naturalismo;2219
40;arte;¿Cómo murió Vincent van Gogh?;Se suicidó;Por los humos tóxicos de sus pinturas;Asesinado por Gaugin;Tuberculosis;2227
41;arte;¿Cómo se llama el famoso cuadro de una mujer alzando la bandera francesa durante la Revolución Francesa?;La Libertad guiando al pueblo;Viva la vida;Batalla de Poitiers;Guernica;2187
42;arte;¿Con qué otro nombre se conoce a \La Gioconda\?;La Mona Lisa;Le Rêve;Retrato de la madre del artista;La Joven de la Perla;2236
43;arte;¿Con qué otro nombre se conoce a la \Afrodita de Melos\?;Venus de Milo;Atenea Partenos;Venus Braschi;Afrodita de Cnido;2330
44;arte;¿Cuál era el nombre de la capilla cuyo techo fue pintado por Miguel Ángel?;Capilla Sixtina;Capilla de San Pedro;Acrópolis;Iglesia de la Santa Sepultura;2258
45;arte;¿Cuál es la escultura y lugar de referencia más conocido de Bruselas?;Manneken Pis;La Sirenita;El Pensador;Loba Capitolina;2245
46;arte;¿De dónde sacaron principalmente la inspiración los arquitectos y escultores del Renacimiento?;Antigua Grecia y Roma;Antiguo Egipto;Antigua Sumeria;Antigua Mexica;2287
47;arte;¿De qué compañía eran las latas de sopa que pintó Andy Warhol?;Campbell's;Heinz;Knorr;Burrida;2320
48;arte;¿De qué nacionalidad era el pintor Gustav Klimt?;Austriaco;Alemán;Italiano;Checo;2291
49;arte;¿De qué nacionalidad era el pintor Pierre-Auguste Renoir?;Francés;Belga;Holandés;Suizo;2278
50;arte;¿De quién es la obra \El Nacimiento de Venus\?;Sandro Botticelli;Peter Paul Rubens;William Tate;Piet Mondrian;2195
51;arte;¿Dónde se puede encontrar el Buda de Oro valorado en 250 millones de dólares?;Bangkok;Delhi;Caracas ;Mumbai;2265
52;arte;¿En qué año pintó Leonardo Da Vinci la \Mona Lisa\?;1503-1506 d. C.;1403-1406 d. C.;1703-1706 d. C.;1603-1606 d. C.;2238
53;arte;¿En qué ciudad nació Leonardo da Vinci?;Vinci;Roma;Venecia;Palermo;2232
54;arte;¿En qué ciudad se encuentra la estatua de David, de Miguel Ángel?;Florencia;Roma;Atenas;Salónica;2258
55;arte;¿Por qué era famoso Donatello?;Esculturas;Cuadros;Murales;Edificios;2289
56;arte;¿Qué artista del renacimiento capturó las proporciones humanas perfectas en su cuadro \Hombre de Vitruvio\?;Leonardo da Vinci;Vesalius;Tiziano;Fra Angélico;2192
57;arte;¿Qué artista era conocido por su fascinación con la danza, habiendo pintado muchas bailarinas?;Edgar Degas;Claude Monet;Vincent van Gogh;Peter Paul Rubens;2313
58;arte;¿Qué artista escribió las palabras \ceci n'est pas une pipe\ (esto no es una pipa) en su cuadro de una pipa?;René Magritte;Matisse;Georges Simenon;Georges Bizet;2288
59;arte;¿Qué artista impresionista pintó la serie de óleos \Los Nenúfares\?;Claude Monet;Pierre-Auguste Renoir;Camille Pissarro;Albrecht Dührer;2252
60;arte;¿Qué bailarina murió estrangulada en 1927 cuando se le enganchó la bufanda en las ruedas de un coche?;Isadora Duncan;Diana Vishneva;Evelyn Hart;Tamara Rojo;2276
61;arte;¿Qué movimiento artístico fue creado por Seurat y Signat?;Puntillismo;Cubismo;Futurismo;Surrealismo;2221
62;arte;¿Qué movimiento artístico ponía énfasis en la emoción, el individualismo y la glorificación del pasado y la naturaleza?;Romanticismo;Modernismo;Orientalismo;Simbolismo;2342
63;arte;¿Qué obra de arte (normalmente una pintura al temple) está dividida en tres secciones?;Tríptico;Tabernáculo;Quincunce;Estancia;2341
64;arte;¿Qué pintor es famoso por su estilo ornamentado y el uso frecuente del color dorado en sus cuadros?;Gustav Klimt;Vincent van Gogh;Pablo Picasso;Salvador Dalí;2356
65;arte;¿Qué rama de la filosofía trata la naturaleza del arte y conceptos como la creatividad y la interpretación?;Estética;Epistemología;Ética;Metafísica;2309
66;arte;¿Qué técnica de pintura era \sin líneas o bordes, en forma de humo o más allá del plano de enfoque\?;Esfumado;Esgrafiado;Claroscuro;Gouache;2260
67;arte;¿Qué técnica para pintar murales se hace sobre mortero de cal húmeda?;Fresco;Asonancia;Armadura;Reconocimiento;2234
68;arte;¿Qué técnica produce una imagen o patrón al aplicar pigmento a una superficie sobre un objeto con huecos?;Estarcido;Impasto;Divisionismo;Plenairismo;2293
69;arte;¿Quién era Cayo Mecenas?;Generoso patrón de las artes;Rey griego de Micenas;Dios griego de la fortuna;General romano;2301
70;arte;¿Quién es considerado el primer pintor abstracto?;Kandinski;Rafael;Vermeer;Modigliani;2357
71;arte;¿Quién fue el joyero de la corte rusa que hizo los famosos huevos de pascua ornamentados?;Peter Carl Fabergé;Mikhail Aniskushin;Naum Gabo;Vasily Demut-Malinovsky;2346
72;arte;¿Quién pintó \El Grito\?;Edvard Munch;Jan van Eyck;Andy Warhol;Jackson Pollock;2279
73;arte;¿Quién pintó \El Jardín de Las Delicias\?;El Bosco;Albretch Dürer;Tiziano;Caravaggio;2269
74;arte;¿Quién pintó \La Última Cena\?;Leonardo da Vinci;Miguel Ángel;El Greco;Rembrandt;2237
75;arte;¿Quién pintó El Guernica?;Picasso;Courbet;Botticelli;Kandisnky;2286
76;arte;¿Quién pintó la vanguardista y surrealista \La Persistencia de la Memoria\?;Salvador Dalí;René Magritte;Francisco Goya;J. M. W. Turner;2226
77;astronautas;¿A partir de qué altura comienza el espacio exterior según la Federación Aeronáutica Internacional?;100 km;1 km;10 km;50 km;2280
78;astronautas;¿Cómo llaman los rusos a sus astronautas?;Cosmonautas;Internautas;Aeronautas;Argonautas;2267
79;astronautas;¿Cómo se llama la compañía espacial creada en 1999 que organizó el primer viaje turístico por el espacio?;MirCorp;Star Dust;Blue Sun;ARO Industries;2347
80;astronautas;¿Cómo se llamaba la cápsula espacial en la que el primer hombre viajó al espacio?;Vostok 1;Sputnik 17;Orbit II;Ariane 4;2325
81;astronautas;¿Cómo se llamaba la cápsula espacial en la que la primera mujer viajó al espacio?;Vostok 6;Apollo 4;WMAP;Pioneer 10;2315
82;astronautas;¿Cómo se llamaba la cápsula espacial que llevó al primer hombre a la Luna?;Apollo 11;Sputnik 5;Lincoln 4;Viking 1;2258
83;astronautas;¿Cuál era el nombre de la cápsula espacial en la que el primer perro fue al espacio?;Sputnik 2;Apollo 4;Alpha One;Neptune 3;2289
84;astronautas;¿Cuál era la profesión de la primera mujer en el espacio?;Trabajadora textil;Enfermera;Piloto aéreo;Oficial de policía;2379
85;astronautas;¿Cuál era la profesión del primer hombre en el espacio?;Piloto de las Fuerzas Aéreas;Contable;Médico;Sonógrafo;2314
86;astronautas;¿Cuál es el apellido de la primera persona en pisar la Luna? ;Armstrong;Houston;Collins;Aldrin;2386
87;astronautas;¿Cuál es el nombre del programa espacial ruso?;Roscosmos;Cosmocore;Ruspace;CosmoR;2257
88;astronautas;¿Cuál fue el primer satélite de comunicación del mundo?;Project SCORE (USA);Project UNITE (EU);Project COMM (USA);Project EKSPRESS (USSR);2255
89;astronautas;¿Cuándo descubrió la sonda estadounidense \Voyager 2\ varias nuevas lunas en Urano?;1986;1916;1946;1966;2301
90;astronautas;¿Cuándo mandó China a su primera persona al espacio?;2003;2007;2011;2015;2389
91;astronautas;¿Cuándo se lanzó la Estación Espacial Internacional al espacio?;1998;2005;2008;2015;2223
92;astronautas;¿Cuánto duró la misión que mandó al primer hombre al espacio?;1 hora, 48 minutos;3 horas, 58 minutos;6 horas, 6 minutos;12 horas, 1 minuto;2281
93;astronautas;¿Cuántos astronautas murieron en la misión fallida del Apollo 13 de aterrizar en la Luna en 1970?;0;3;1;2;2309
94;astronautas;¿Hacia dónde partió la sonda espacial europea \Ulises\ en 1990?;Sol;Urano;Neptuno;Plutón;2261
95;astronautas;¿Qué astronave despegó hacia Júpiter en 1972?;Pioneer 10;Voyager 1;WMAP;Cassini-Huygens;2335
96;astronautas;¿Qué significa literalmente la palabra \cosmonauta\?;Navegante del universo;Viajero estelar;Buscador de estrellas;Misionero terrícola;2258
97;astronautas;¿Qué significan las siglas de \NASA\?;National Aeronautics and Space Act;National Astronauts and Space Assembly;National Salvation Agency ;Nominal Air Space Agency;2301
98;astronautas;¿Qué sonda estadounidense fue la primera en orbitar otro planeta en 1971?;Mariner 9;Viking 7;Challenger 1;Atlas 4;2246
99;astronautas;¿Quién fue el primer hombre que viajó al espacio?;Yuri Gagarin;Neil Armstrong;Charles Lindbergh;Valentino Tereshkova;2234
100;astronautas;¿Quién fue la primera mujer en el espacio?;Valentina Tereshkova;Sally Ride;Naidia Comenci;Steliana Nistor;2285
101;astronautas;¿Quién fue la primera persona en morir en un vuelo espacial debido a un fallo en el paracaídas?;Vladimir Komarov;Lance Armstrong;Yuri Gagarin;Buzz Aldrin;2244
102;astronautas;¿Quién o qué era Laika?;El primer perro en ir al espacio;La marca de coche más popular en China;La reina de la legendaria Atlántida;La primera mujer de Rasputín;2295
103;astronomia;¿A qué antiguo planeta de nuestro sistema solar se le revocó su título y se le reconoce ahora como un planeta enano?;Plutón;Marte;Venus;Mercurio;2226
104;astronomia;¿Aproximadamente cuál es la distancia media entre la Luna y la Tierra?;384.400 km;485.000 km;295.800 km;585.000 km;2361
105;astronomia;¿Cómo se conoce comúnmente a la estrella Sirio?;Estrella perro;Estrella toro;Estrella paloma;Estrella gato;2269
106;astronomia;¿Cómo se llama el despliegue natural de luz en el cielo que se da principalmente en la región Ártica?;Aurora Boreal;Aurora Amaranta;Corona Boreal;Corona Amaranta;2270
107;astronomia;¿Cómo se llama la constelación que parece un caballo alado?;Pegaso;Sagitario;Unicornio;Orión;2302
108;astronomia;¿Cómo se llama la lluvia de meteoros cuyo auge de actividad ocurre cada agosto?;Perseidas;Sirenas;Leónidas;Líricas;2257
109;astronomia;¿Cuál de estos planetas tiene anillos?;Saturno;Marte ;Mercurio;Plutón;2257
110;astronomia;¿Cuál es aproximadamente la distancia media entre la Tierra y el Sol?;149.500.000 km;248.500.000 km;105.000.000 km;151.000 km;2302
111;astronomia;¿Cuál es aproximadamente la fuerza gravitacional de la Tierra en m/s2?;9,81;19,81;0,981;98,1;2272
112;astronomia;¿Cuál es el nombre en latín de la Estrella del Norte?;Polaris;Sirio;Vega;Pleiades;2326
113;astronomia;¿Cuál es el planeta más grande de nuestro sistema solar?;Júpiter;Saturno;Neptuno;Marte;2244
114;astronomia;¿Cuál es el radio medio de la Tierra?;6.371 km;9.658 km;12.811 km;32.332 km;2262
115;astronomia;¿Cuál es el volumen de la Luna comparado con el de la Tierra?;ene-50;01-ago;ene-20;ene-40;2306
116;astronomia;¿Cuál es la luna más grande de Júpiter?;Ganimedes;Europa;Calisto;Ío;2244
117;astronomia;¿Cuál es la luna más grande de Plutón?;Caronte;Nix;Hidra;Cerbero;2299
118;astronomia;¿Cuáles son los 4 planetas gigantes conocidos de nuestro sistema solar?;Júpiter, Saturno, Urano y Neptuno;Júpiter, Venus, Marte y la Tierra;Júpiter, Mercurio, Plutón y Saturno;Júpiter, La Tierra, Marte y Neptuno;2281
119;astronomia;¿Cuán antiguo es nuestro sistema solar aproximadamente?;4.600 millones de años;1.600 millones de años;2.600 millones de años;3.600 millones de años;2288
120;astronomia;¿Cuán fuerte es la gravedad de Marte comparada con la de la Tierra aproximadamente?;0,38;0,5;1,4;2,3;2194
121;astronomia;¿Cuántas veces más grande es el radio medio de Saturno comparado con el de la Tierra?;9;90;19;99;2263
122;astronomia;¿Cuánto tarda la Luna en orbitar la Tierra aproximadamente?;27 días;32 horas;1 año;3 meses;2373
123;astronomia;¿Cuánto tarda la luz de la estrella más cercana a la Tierra después del Sol (Alpha Centauri) en llegar a la Tierra?;4,37 años;437 años;437 días;437 semanas;2245
124;astronomia;¿Cuánto tiempo tarda la luz del Sol en llegar a la Tierra?;8 minutos, 19 segundos;16 minutos, 39 segundos;2 minutos, 44 segundos;1 minuto, 48 segundos;2251
125;astronomia;¿De qué planeta es Europa una luna?;Júpiter;Saturno;Neptuno;Plutón;2317
126;astronomia;¿En qué galaxia se encuentra nuestro sistema solar?;La Vía Láctea;Andrómeda;Palioxis;Messier;2311
127;astronomia;¿En qué otro planeta de nuestro sistema solar son comunes las dunas?;Marte;Mercurio;Venus;Urano;2317
128;astronomia;¿En qué planeta está el Olympus Mons, la montaña más alta de todos los planetas del sistema solar?;Marte;Neptuno;Venus;Mercurio;2287
129;astronomia;¿Para qué planeta se sugirieron los nombres \Zeus\, \Percival\ y \Constance\?;Plutón;Mercurio;Júpiter;Saturno;2283
130;astronomia;¿Qué constelación debe su nombre a la latinización de la palabra griega para \cisne\?;Cygnus;Phaethon;Lyra;Taurus;2293
131;astronomia;¿Qué famoso cometa tiene una órbita de entre 74-79 años?;Cometa Halley;Cometa Hale-Bop;Cometa Encke;El Gran Cometa;2317
132;astronomia;¿Qué galaxia espiral es la más cercana a la nuestra?;Andrómeda;Casiopea;Nereida;Hespérides;2297
133;astronomia;¿Qué luna de Saturno es la única luna con una atmósfera significativa?;Titán;Hiperión;Dione;Rea;2224
134;astronomia;¿Qué palabra utilizan los astrofísicos para describir una estrella que ha explotado?;Supernova;Supercolisionador;Megadynamo;Megaexplosión;2234
135;astronomia;¿Qué planeta da la vuelta al sol cada 84 años?;Urano;Neptuno;Saturno;Plutón;2231
136;astronomia;¿Qué planeta tiene más lunas conocidas?;Júpiter;Neptuno;Marte;La Tierra;2232
137;astronomia;¿Qué tienen Júpiter, Saturno, Urano y Neptuno en común?;Son gigantes de gas;Son los únicos planetas azules;No tienen lunas;Dan la vuelta al Sol en menos de un año;2296
138;astronomia;¿Qué une a los nombres \Torbellino\, \Sombrero\ y \Andrómeda\?;Nombres de galaxias;Tipos de lavavajillas;Platos Mexicanos;Marcas de vino chileno;2293
139;astronomia;¿Quién descubrió las 4 lunas más grandes de Júpiter?;Galileo Galilei;Copérnico;Edwin Hubble;Edmond Halley;2223
140;astronomia;¿Quién fue el primer científico en desarrolar un modelo astronómico completo en el que la Tierra gira alrededor del Sol?;Copérnico;Galileo Galilei;Newton;Dalton;2197
141;astronomia;¿Quién fue la primera persona en proponer un sistema heliocéntrico?;Aristarco de Samos;Galileo Galilei;Newton;Einstein;2222
142;biologia;¿Cómo llamamos a los alomorfos de un gen que sólo se manifiesta si el individuo tiene dos copias del mismo?;Genes recesivos;Genes permisivos;Genes dimórficos;Genes bilaterales;2265
143;biologia;¿Cómo se le llama a un organismo con órganos reproductivos femeninos y masculinos?;Hermafrodita;Transgénero;Diploide;Heterogámeto;2354
144;biologia;¿Cómo se le llama a una relación no mutua entre especies en la que una se beneficia a costa de la otra?;Parasitismo;Simbiosis;Cohabitación;Cooperación;2232
145;biologia;¿Cómo se le llama a una subunidad especializada en una función dentro de una célula?;Orgánulo;Centro;Cúpula;Bóveda;2296
146;biologia;¿Cómo se llama a un grupo de organismos de la misma especie que actúan sinérgicamente?;Superorganismo;Megalito;Monstera;Megaloblasto;2291
147;biologia;¿Cómo se llama el órgano que produce la insulina?;Páncreas;Riñón;Vejiga;Bazo;2291
148;biologia;¿Cómo se llama el proceso de división celular?;Mitosis;Heterosis;Fusión;Génesis;2281
149;biologia;¿Cómo se llama la cobertura exterior de los virus?;Cápside;Revestimiento;Virión;Viroide;2250
150;biologia;¿Cómo se llama la porción líquida amarillenta de la sangre?;Plasma;Hidrógeno;Linfa;Amniótico;2314
151;biologia;¿Cómo se llaman los organismos pluricelulares que tienen un número par de cromosomas?;Diploides;Biploides;Dícromos;Bícromos;2301
152;biologia;¿Con qué nombre se conoce la muerte de todos los miembros de una especie en particular?;Extinción;Terminación;Obliteración;Aniquilación;2269
153;biologia;¿Cuál es el nombre del material genético asociado a un rasgo físico específico?;Genotipo;Fenotipo;Alotipo;Haplotipo;2274
154;biologia;¿Cuál es el proceso por el cual las sustancias orgánicas se rompen en materia más simple?;Descomposición;Minimización;Separación;Simplificación;2263
155;biologia;¿Cuál es el término para una interacción biológica cercana, beneficiosa y a largo plazo entre dos especies?;Simbiosis;Dueto;Entrelazamiento;Intercalamiento;2276
156;biologia;¿Cuál es la principal fuente de energía de la Tierra?;Sol;Agua;Suelo;Plantas;2291
157;biologia;¿Cuál es la rama de la biología que estudia las células?;Citología;Entomología;Homoplastia;Endocrinología;2338
158;biologia;¿Cuál es la salinidad media del agua de mar?;3,5%;2,5%;0,05%;5,3%;2197
159;biologia;¿Cuál es la secuencia de nucleótidos de ADN que codifica la producción de una proteína?;Gen;Cromosoma;Encima;Proteína;2311
160;biologia;¿Cuál es la unidad fundamental de la vida en biología?;Célula;Átomo;Órgano;Protoplasma;2315
161;biologia;¿Cuántos individuos se requieren para reproducirse por partenogénesis?;1;2;3;6;2352
162;biologia;¿Dónde se fabrican los glóbulos rojos?;Médula ósea;Corazón;Hígado;Nodos linfáticos;2327
163;biologia;¿Dónde se guardan los rasgos hereditarios de un organismo?;ADN;Enzimas;Polipéptidos;Meiosis;2245
164;biologia;¿En qué unidad se mide la energía proveniente de la comida?;Calorías;Kelvins;Bushels;Vatios;2290
165;biologia;¿Qué científico hizo famosas las Islas Galápagos?;Charles Darwin;Isaac Newton;Louis Pasteur;Nikola Tesla;2319
166;biologia;¿Qué frase acuñó Herbert Spence, habitualmente atribuida de forma incorrecta a Darwin?;Supervivencia del más apto;Adaptación por procreación ;El uso hace al órgano;Procreación por adaptación;2301
167;biologia;¿Qué le sucede al ritmo respiratorio cuando hay una bajada en la concentración del oxígeno en sangre?;Aumenta;Disminuye;Primero disminuye y luego aumenta;No se ve afectado;2261
168;biologia;¿Qué palabra se refiere a la variedad de vida animal y vegetal en el mundo o en un hábitat particular?;Biodiversidad;Bioconversión;Multiplicidad;Multiformidad;2290
169;biologia;¿Qué se clasifica con el sistema ABO?;Grupos sanguíneos;Nódulos linfáticos;Ratones de laboratorio;Pingüinos;2277
170;biologia;¿Qué se crea cuando el ADN de un organismo cambia permanentemente?;Mutación;Bifurcación;Transfiguración;Adaptación;2231
171;biologia;¿Qué significa el \mio\ en \miocardial\?;Músculo;Corazón;Vena;Sangre;2282
172;biologia;¿Qué significa la palabra\ biología\?;Estudio de la vida;Estudio de los seres;Estudio de la naturaleza;Estudio de las células;2242
173;biologia;¿Qué son los humanos?;Omnívoros;Herbívoros;Carnívoros;Vermívoros;2321
174;biologia;¿Qué son los mohos, las levaduras y las setas?;Hongos;Plantas;Algas;Bacterias;2248
175;biologia;¿Qué vitamina aumenta su producción con la exposición al sol?;Vitamina D;Vitamina A;Vitamina B;Vitamina C;2295
176;biologia;¿Qué vitamina tiene \ácido ascórbico\ como nombre químico?;C;D;E;K;2314
177;biologia;¿Qué vitamina tiene \ácido fólico\ como nombre químico?;B9;A;C;D;2285
178;botanica;¿A qué familia de plantas pertenece el brócoli?;Crucíferas;Perennes;Tuberculosas;Caducifolias;2309
179;botanica;¿Cómo se le llama al movimiento diario o estacional de las plantas en respuesta a la dirección del sol?;Heliotropismo;Heterocentrismo;Cinefilia;Bioluminiscencia;2260
180;botanica;¿Cómo se llama el fino tallo que une la hoja al tallo principal?;Pecíolo;Cáliz;Pistilo;Estamen;2272
181;botanica;¿Cómo se llama el tejido hecho de corcho que forma la corteza exterior de los árboles?;Peridermo;Epidermo;Peritoneumo;Epitoneumo;2292
182;botanica;¿Cómo se llaman los pigmentos orgánicos anaranjados producidos por plantas y algas?;Carotenoides;Clorofilas;Cianoides;Betanoides;2309
183;botanica;¿Cuál es el nombre botánico para el órgano reproductivo masculino de las plantas con flores?;Estambre;Cáliz;Carpelo;Fronda;2339
184;botanica;¿Cuál es el principal mecanismo que utilizan las plantas para mover el agua por sus tejidos?;Transpiración;Fotosíntesis;Osmosis;Movimientos peristálticos;2304
185;botanica;¿Cuál es el proceso por el que las microesporas de una planta se transfieren a otra planta de la misma especie?;Polinización;Pimpolleo;Germinación;Fertilización;2313
186;botanica;¿De qué está hecho el ámbar?;Resina fosilizada;Lava sólida;Carbón presurizado a alta temperatura;Silicio combinado con agua;2307
187;botanica;¿Dónde se producen los granos de polen de las plantas?;Flores;Tallos;Raíces;Hojas;2163
188;botanica;¿En qué convierten las plantas los nitratos que absorben del suelo?;Aminoácidos;Urea;Amoníaco;Metano;2350
189;botanica;¿En qué crecen las plantas epifitas y parasíticas?;Otras plantas;Tierra;Arena;Piedra;2214
190;botanica;¿En qué organismos tiene lugar el ciclo de Calvin?;En plantas;En mamíferos;En bacterias;En hongos;2333
191;botanica;¿En qué proceso liberan las plantas oxígeno como producto de desecho?;Fotosíntesis;Respiración;Perspiración;Oxidación;2326
192;botanica;¿Qué ácido hace que las ortigas piquen?;Ácido fórmico;Ácido nítrico;Ácido láctico;Ácido nucleico;2267
193;botanica;¿Qué árboles mantienen sus hojas durante el invierno?;Perennes;Bieniales;Caducifolios;Ditransitivos;2317
194;botanica;¿Qué células tienen una pared celular, plastos y plasmodesmos?;Células vegetales;Células procariotas;Células animales;Células víricas;2285
195;botanica;¿Qué desarrollaron las plantas para aumentar la cantidad de luz que pueden capturar para la fotosíntesis?;Hojas;Raíces;Flores;Semillas;2236
196;botanica;¿Qué es lo que produce la marchitación de las plantas si se da en exceso?;Transpiración;Fotosíntesis;Absorción;Convulsión;2269
197;botanica;¿Qué es típico en las plantas caducifolias?;Perder las hojas en invierno;No producir oxígeno;No sobrevivir en aislamiento;No soportar la luz del sol;2296
198;botanica;¿Qué es una granja a gran escala que se especializa en cultivos comerciales?;Plantación;Huerta;Arboleda;Jardín;2318
199;botanica;¿Qué estudian los dendrólogos?;Árboles;Tundra;Jardines;Tubérculos;2233
200;botanica;¿Qué longitud de onda luminosa absorbe la clorofila?;Roja y azul;Verde y azul;Amarilla y verde;Verde y roja;2316
201;botanica;¿Qué nombre se le da a las plantas cuyas semillas están en el interior de un fruto?;Angiospermas;Endospermas;Zoospermas;Autospermas;2326
202;botanica;¿Qué organismo posee características tanto de plantas como de animales y por ello forman su propio reino?;Hongos;Corales;Virus;Esponjas;2339
203;botanica;¿Qué partes de algunas plantas se mueven con la luz?;Flores y hojas;Flores y tallos;Hojas y tallos;Tallos y raíces;2320
204;botanica;¿Qué planta se llamó como la diosa griega del arcoiris?;Iris;Camelia;Dahlia;Mimosa;2167
